技能名称,来源,主方向,子域,角色,建议动作,具体建议,发布状态,能力概述（上游/项目原文节选）,流程结构（标题/步骤节选）,相互提及候选（非硬依赖）,相对资源引用,静态风险关键词（不代表已执行）,SKILL行数,依据
pyzotero,Scientific,B 文献证据与知识管理,知识库与文献库,专业模块/适配后端,折叠为后端适配,只在已授权 Web API 路径有需要时调用；不替代项目的证据与双库验收。,分发,"Interact with Zotero reference management libraries using the pyzotero Python client. Retrieve, create, update, and delete items, collections, tags, and attachments via the Zotero Web API v3. Use this skill when working with Zotero libraries programmatically, managing bibliographic references, exporting citations, searching library contents, uploading PDF attachments, or building research automation workflows that integrate with Zotero.",Pyzotero → Authentication Setup → Installation → Quick Start → Core Concepts → Reference Files → Common Patterns → Fetch and modify an item,,references/authentication.md; references/read-api.md; references/search-params.md; references/write-api.md; references/collections.md; references/tags.md; references/files-attachments.md; references/exports.md; references/pagination.md; references/full-text.md; references/saved-searches.md; references/cli.md; references/mcp.md; references/error-handling.md,"API_KEY, upload, delete, credentials",154,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pyzotero/SKILL.md
nature-downloader,Nature,B 文献证据与知识管理,获取、阅读与论文卡,任务编排/专用合同,保留获取子流程,保留 OA/机构授权/浏览器回退与失败状态；不突破付费墙或把下载当已读。,分发,"Use when a user needs lawful academic full text, CNKI institutional access, English OA retrieval, publisher API access, institutional browser fallback, or supporting information downloads.","1. Collect a DOI, PMID, exact title, article URL, or a definite paper list, then normalize its metadata and publisher. → 2. If it belongs to Elsevier, Springer Nature, or IEEE and usable provider credentials are configured, try that publisher API first. On success, record `accessMode: publisher_api` and `oa_status: not_checked_api_first`; do not run OA resolution only to label the article. → 3. If the publisher API fails, automatically search legitimate OA sources such as PMC, Unpaywall, publisher OA pages, arXiv, and other lawful repositories or clearly open PDF URLs. Preserve the failed API attempt in the manifest. → 4. For all other English publishers, search those legitimate OA sources before Web Access. → 5. For an exact title or an explicit OA-only request, prefer: → 6. Verify the downloaded file and record the source. Mark a successful PDF as `open_access_downloaded`.",pdf,references/institutional-browser-workflow.md; references/delivery-verification-and-failures.md,"pip install, delete, credentials",350,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-downloader/SKILL.md
nature-paper-card,Nature,B 文献证据与知识管理,获取、阅读与论文卡,任务编排/专用合同,保留论文卡子模式,优先复用已给 reader 的源映射；16节证据卡不等于翻译或正式审稿。,分发,"Build a structured deep-reading Paper Card for one scientific paper, analysing methods, experiment-to-claim evidence, limitations, and research ideas. Use for 论文精读卡、方法拆解、证据链分析; not full-paper bilingual translation or formal peer review.",1. Resolve `SKILL_DIR` as the directory containing this loaded `SKILL.md`. → 2. Verify `SKILL_DIR/scripts/prepare_paper.py` exists. → 3. Run exactly the bundled script by its resolved path: → 1. core principles; → 2. the selected paper-type fragment; → 3. core workflow;,"nature-reader, pdf, nature-academic-search, nature-reviewer, nature-literature-pipeline, nature-paper2ppt",manifest.yaml; references/evidence-and-provenance.md; references/card-schema.md; references/research-idea-gates.md,clinical,158,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-paper-card/SKILL.md
nature-reader,Nature,B 文献证据与知识管理,获取、阅读与论文卡,任务编排/专用合同,保留阅读子模式,全文对照、节选与问答按范围选择；不为单个问题默认翻译整篇。,分发,"Create source-grounded Chinese-English paper readers with aligned text, figures, tables, and equations. Use for 全文翻译、中英文对照、论文精读 or source-linked questions about a paper; respect a requested excerpt or question without generating a full reader.","1. Core principles (`core/principles.md`) — bilingual reader by default, translate for meaning, never degrade to a summary, copyright caution. → 2. Source-format fragment — how to extract text, figures, and tables for this input. → 3. Reading workflow (`core/workflow.md`) — the six-step source-map-first process. → 4. Output contract (`core/output-contract.md`) — required files and the pre-response verification checklist.",nature-shared,manifest.yaml,,64,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-reader/SKILL.md
liteparse,Scientific,B 文献证据与知识管理,获取、阅读与论文卡,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Local document and PDF parsing that returns spatial text with bounding boxes. Use for extracting text from PDFs, DOCX, Office files, and images; running OCR on scans; producing layout-preserved JSON for RAG; batch-ingesting folders of papers; or rendering pages to PNG for multimodal agents. Distinguishing capabilities are per-token bounding boxes, page raster output, and fully local processing with no cloud API.",LiteParse — Local Document Parsing → Overview → When to Use This Skill → When Not to Use → Installation → Quick Start → Python → CLI,"pdf, markitdown, docx, xlsx, pptx",,"upload, pip install, uv pip, parallel",312,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/liteparse/SKILL.md
markitdown,Scientific,B 文献证据与知识管理,获取、阅读与论文卡,专业模块/适配后端,折叠为证据/知识模块,共用文献证据入口，保留数据库/服务/来源差异；返回结果不自动成为宿主已读证据。,分发,"Convert heterogeneous documents and selected URIs to Markdown with Microsoft MarkItDown for text analysis, search, and LLM/RAG ingestion. Covers safe local conversion, streams, Office/PDF/data formats, batch workflows, plugins, vision OCR, Azure extraction, and the official MCP server.","1. Confirm the output is non-empty and UTF-8. → 2. Compare headings, lists, links, tables, equations, notes, and sheet boundaries with the source. → 3. Visually inspect figures, charts, scanned pages, and multi-column layouts. → 4. Record the source path/URI, package version, conversion mode, plugin/cloud service, and failures. → 5. Keep the original document as the authoritative artifact.","pdf, docx, pptx, xlsx",,"upload, pip install, uv pip, credentials",281,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/markitdown/SKILL.md
nature-experiment-log,Nature,B 文献证据与知识管理,订阅与实验日志,任务编排/专用合同,归并入口，保留日志格式,共用知识沉淀入口；保留样品/设备/实验ID及原始来源，飞书/Obsidian写入另受控。,分发,标准化实验日志记录——直接上传或读取本地图片、语音和文字，产出带 YAML frontmatter 的 Markdown；可选集成飞书 CLI 与 Obsidian。,1. 接收上传材料、读取本地文件，或从已配置的飞书群获取材料。 → 2. 通过 vision_analyze 和文本解析提取结构化信息。 → 3. 对缺失或模糊字段向用户确认，不猜测实验条件或结果。 → 4. 确认输出方式和目标目录，生成实验 ID 与样品批次 ID。 → 5. 写出 `{OUTPUT_ROOT}/实验日志/{体系}/{类型}/{exp_id}.md`。 → 6. 将原始附件归档到 `{OUTPUT_ROOT}/raw/experiments/YYYY.MM.DD_描述_EXPID/`，并在日志中建立引用。,nature-literature-pipeline,,,155,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-experiment-log/SKILL.md
nature-literature-pipeline,Nature,B 文献证据与知识管理,订阅与实验日志,任务编排/专用合同,保留显式订阅分支,是定时发现/推送/归档，不是从选题到投稿；cron 和消息发送需要单独授权。,分发,"Complete automated literature discovery pipeline: multi-source search → six-dimension scoring → fine reading → formatted delivery → archival.
Combines a configurable engine with daily cron-driven application layer. Works with Feishu, Telegram, or any messaging platform.
","1. **Keyword drift**: Review keywords monthly — research directions evolve → 2. **Score inflation**: Subagents may inflate scores; always validate arithmetic → 3. **Duplicate creep**: Classic papers will reappear; maintain a dedup index → 4. **Wiki safety**: Pipeline writes to `raw/` only; wiki integration is manual → 5. **Cron locality**: Hermes cron is local, not cloud — machine must be running","nature-academic-search, nature-citation",,"cron, subagent",112,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-literature-pipeline/SKILL.md
deep-research,Academic / ARS,B 文献证据与知识管理,证据检索与综述,任务编排/专用合同,归并入口，保留专用模式,归入文献证据；作为 ARS 深研选项，不能覆盖宿主实际阅读和证据规则。,分发·独立授权ARS,"Universal deep research agent team. 13-agent pipeline for rigorous academic research on any topic. 8 modes: full research, quick brief, paper review, lit-review, fact-check, three-way literature scan, Socratic guided research dialogue, and systematic review with optional meta-analysis. Covers research question formulation, Socratic mentoring, methodology design, systematic literature search, source verification, cross-source synthesis, risk of bias assessment, meta-analysis, APA 7.0 report compi",1. Scoping — Research question + methodology blueprint → 2. Investigation — Systematic literature search + source verification → 3. Analysis — Cross-source synthesis + bias check → 4. Composition — Full APA 7.0 report → 5. Review — Editorial + ethics + vulnerability scan → 6. Revision — Final polished report,"academic-paper, academic-pipeline, academic-paper-reviewer",,parallel,602,https://github.com/Imbad0202/academic-research-skills/blob/3c546bc08c56f79e0068f1ea4f0acedf5bf69b5e/deep-research/SKILL.md
nature-academic-search,Nature,B 文献证据与知识管理,证据检索与综述,任务编排/专用合同,归并入口，保留检索路由,由证据入口按用户目标与可用服务选检索片段，不再和多个搜索总控并行。,分发,"Search literature across sources, verify or manage citations, and build MeSH strategies or citation-impact audits. Use for 文献检索、引文核对、参考文献管理、严格他引 and evidence-backed citer profiles; not for translating a paper or drafting manuscript prose.","1. Core tools and routing (`core/tools.md`, `core/routing-and-ops.md`) — which MCP tool for which need, and the T1→T2→T3 fallback chain for source retrieval. → 2. The workflow fragment — its specific steps. → 3. Shared modules and scripts on demand (dedup, citation parser, search strategy, RIS/BibTeX format, format converter).",,manifest.yaml,,55,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-academic-search/SKILL.md
literature-review,Scientific,B 文献证据与知识管理,证据检索与综述,任务编排/专用合同,归并入口，保留系统综述方法,保留检索/筛选/综合流程；撤除“每次强制AI绘图”的默认义务，不默认调用外部服务。,分发,"Conduct comprehensive, systematic literature reviews using multiple academic databases (PubMed, arXiv, bioRxiv, Semantic Scholar, etc.). This skill should be used when conducting systematic literature reviews, meta-analyses, research synthesis, or comprehensive literature searches across biomedical, scientific, and technical domains. Creates professionally formatted markdown documents and PDFs with verified citations in multiple citation styles (APA, Nature, Vancouver, etc.).","1. Generate at minimum ONE schematic or diagram (e.g., PRISMA flow diagram for systematic reviews) → 2. Prefer 2-3 figures for comprehensive reviews (search strategy flowchart, thematic synthesis diagram, conceptual framework) → 1. **Planning and scoping** — the question, inclusion and exclusion criteria, and scope. → 2. **Systematic literature search** — multi-database searching with recorded queries. → 3. **Screening and selection** — title/abstract then full-text screening with counts kept → 4. **Data extraction and quality assessment** — structured extraction and risk-of-bias","parallel-web, gget, bioservices, scientific-schematics, pydeseq2, scanpy, anndata, biopython, matplotlib, seaborn, venue-templates, pdf",references/core_workflow.md; references/search_and_citation.md; references/example_workflow.md,"API_KEY, pip install, uv pip, parallel",280,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/literature-review/SKILL.md
paper-lookup,Scientific,B 文献证据与知识管理,证据检索与综述,任务编排/专用合同,折叠为检索适配,保留多学术API的端点、分页和来源记录；按实际问题选服务，不一律全量调用。,分发,"Search 18 scholarly APIs for papers, preprints, citations, open-access full text, repository records, and journal OA status, and return results with reproducible provenance. Covers PubMed, PMC, Europe PMC, bioRxiv, medRxiv, arXiv, OpenAlex, Crossref, Semantic Scholar, CORE, Unpaywall, OpenCitations, PubTator3, Zenodo, Figshare, ROR, BioStudies, and DOAJ. Use when searching for papers, citations, DOI/PMID/arXiv lookups, abstracts, full text, open-access PDFs, preprints, citation graphs, author pu","1. **Define the retrieval contract** — What is the user after? A specific paper by DOI/PMID/arXiv ID? Papers on a topic? An author's publications? A citation graph? An open-access PDF? Full text? Note any constraints that change the answer: date range, field of study, open-access-only, exhaustive list vs. a few top hits. If a constraint that affects correctness is missing (e.g., ""recent"" with no year, or an author name with many namesakes), ask rather than guess. → 2. **Select database(s)** — Use the selection guide below. Route to the primary database for the intent, then add others only when they earn their place: identifier resolution, open-access lookup, or a known coverage gap. Don't fan out across all eighteen just because they're available. → 3. **Read the reference file** — Each database has a file in `references/` with endpoints, parameters, example calls, response shapes, and **the specific ways it fails quietly**. Read the relevant file(s) before calling. The hazard sections are not optional background; they are where the wrong answers come from. → 4. **Prefer the bundled scripts over hand-rolled parsing** — See **Bundled Scripts**. Pagination, JATS full text, arXiv Atom",,,"API_KEY, patient, parallel, credentials",303,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/paper-lookup/SKILL.md
research-lookup,Scientific,B 文献证据与知识管理,证据检索与综述,任务编排/专用合同,归并重复编排,整合到证据入口的稿件背景/竞争结论检索子流程；不另建证据存储状态。,分发,"Compile current scholarly evidence for a scientific manuscript or research brief. Use when the user explicitly asks to gather literature, references, background evidence, competing findings, or a manuscript research packet. Uses Parallel Search by default, Parallel Extract for source verification, Parallel Research for explicitly deep/exhaustive work, optional explicit Parallel Chat, and optional Perplexity only when requested or allowed as a failure fallback.","1. recent peer-reviewed primary studies → 2. systematic reviews, meta-analyses, and consensus evidence → 3. seminal and foundational publications → 4. methods, protocols, validation, benchmarks, and mechanisms → 5. contradictory, null, negative, replication, and limitation evidence → 6. an unrestricted companion search when filtered passes do not reach the target","literature-review, deep-research, citation-management, parallel-web, scientific-writing",,"API_KEY, clinical, parallel",355,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/research-lookup/SKILL.md
cobrapy,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Constraint-based metabolic modeling (COBRA). FBA, FVA, gene knockouts, flux sampling, SBML models, for systems biology and metabolic engineering analysis.","1. **Use context managers** for temporary modifications to avoid state management issues → 2. **Validate models** before analysis using `model.slim_optimize()` to ensure feasibility → 3. **Check solution status** after optimization - `optimal` indicates successful solve → 4. **Use loopless FVA** when thermodynamic feasibility matters → 5. **Set fraction_of_optimum** appropriately in FVA to explore suboptimal space → 6. **Parallelize** computationally expensive operations (sampling, double deletions) — start with small `n` and `processes=1` on genome-scale models",matplotlib,,"pip install, uv pip, parallel",478,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/cobrapy/SKILL.md
datamol,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Pythonic wrapper around RDKit with simplified interface and sensible defaults. Preferred for standard drug discovery including SMILES parsing, standardization, descriptors, fingerprints, clustering, 3D conformers, parallel processing. Returns native rdkit.Chem.Mol objects. For advanced control or custom parameters, use rdkit directly.",1. **Always standardize molecules** from external sources: → 2. **Check for None values** after molecule parsing: → 3. **Use parallel processing** for large datasets: → 4. **Use cloud I/O only when requested** — confirm remote write paths; install `s3fs`/`gcsfs` as needed: → 5. **Use appropriate fingerprints** for similarity: → 6. **Consider scale limitations**:,"rdkit, scikit-learn",references/core_workflows.md; references/workflow_patterns.md,"pip install, uv pip, parallel, credentials",217,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/datamol/SKILL.md
deepchem,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Molecular ML with diverse featurizers and pre-built datasets. Use for property prediction (ADMET, toxicity) with traditional ML or GNNs when you want extensive featurization options and MoleculeNet benchmarks. Best for quick experiments with pre-trained models, diverse molecular representations. For graph-first PyTorch workflows use torchdrug; for benchmark datasets use pytdc.","1. **Molecular data loading and processing** — loaders, `NumpyDataset` / `DiskDataset`. → 2. **Molecular featurization** — circular fingerprints, graph convolution, and descriptors. → 3. **Data splitting** — random, scaffold, stratified, and butina splitters, and why → 4. **Model selection and training** — the model families and how to fit them. → 5. **MoleculeNet benchmarks** — loading standard datasets and their published splits. → 6. **Transfer learning** — pretraining and fine-tuning.","transformers, scikit-learn",references/core_capabilities.md; references/typical_workflows.md,"pip install, uv pip",261,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/deepchem/SKILL.md
diffdock,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"DiffDock and DiffDock-L molecular docking. Use for protein-small-molecule pose prediction from PDB or sequence plus SMILES/SDF/MOL2, batch docking, virtual screening, and pose-confidence interpretation. Not for binding affinity prediction.","**Step 1: Prepare Batch CSV** → **Step 2: Run Batch Docking** → 1. **Confidence ≠ Affinity**: High confidence means model certainty about structure, NOT strong binding → 2. **Context Matters**: Adjust expectations for: → 3. **Multiple Samples**: Review top 3-5 predictions, look for consensus → 1. High Accuracy: More samples + steps, lower temperature",esm,,"Docker, docker",495,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/diffdock/SKILL.md
esm,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Use when working directly with the `esm` Python SDK, ESM3 or ESMC model IDs, Forge/Biohub inference clients, or ESMFold2 folding workflows.","1. Check whether `ESM_API_KEY` is already set in the environment. → 2. If not, check a local `.env` for `ESM_API_KEY` only (do not load unrelated secrets). → 3. If still missing, create a key in the [Biohub developer console](https://biohub.ai/developer-console/api-keys) for Biohub APIs or [Forge](https://forge.evolutionaryscale.ai) for legacy Forge-hosted ESM3/ESMC access.",,,"API_KEY, pip install, uv pip",350,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/esm/SKILL.md
glycoengineering,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Analyze and engineer protein glycosylation. Scan sequences for N-glycosylation sequons (N-X-S/T), predict O-glycosylation hotspots, and access curated glycoengineering tools (NetOGlyc, GlycoShield, GlycoWorkbench). For glycoprotein engineering, therapeutic antibody optimization, and vaccine design.",Glycoengineering → Overview → When to Use This Skill → N-Glycosylation Sequon Analysis → Scanning for N-Glycosylation Sites → Mutating N-Glycosylation Sites → O-Glycosylation Analysis → Heuristic O-Glycosylation Hotspot Prediction,matplotlib,,"pip install, uv pip",355,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/glycoengineering/SKILL.md
medchem,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Medicinal chemistry filters for compound triage. Apply drug-likeness rules (Lipinski, Veber, CNS), structural alert catalogs (PAINS, NIBR, ChEMBL), complexity metrics, and the medchem query language for library filtering.","1. **Context matters** — marketed drugs often violate Ro5; prodrugs and natural products are common exceptions. → 2. **Combine filters** — rules, alert catalogs, and complexity thresholds work best together. → 3. **Use parallelization** — pass `n_jobs=-1` for libraries >1000 molecules. → 4. **Check return types** — `RuleFilters` and structural classes return DataFrames; functional helpers return boolean arrays. → 5. **Lilly demerits are optional** — install `lilly-medchem-rules` separately; default max demerits is 160 in the functional API. → 6. **Document decisions** — retain `status`, `reasons`, and `severity` columns for audit trails.",datamol,,"pip install, uv pip, parallel",338,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/medchem/SKILL.md
molecular-dynamics,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Run and analyze molecular dynamics simulations with OpenMM and MDAnalysis. Set up protein/small molecule systems, define force fields, run energy minimization and production MD, analyze trajectories (RMSD, RMSF, contact maps, free energy surfaces). For structural biology, drug binding, and biophysics.",Molecular Dynamics → Overview → When to Use This Skill → Core Workflow: OpenMM Simulation → 1. System Preparation → 2. Energy Minimization → 3. NVT Equilibration → 4. NPT Equilibration and Production,matplotlib,,"pip install, uv pip",458,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/molecular-dynamics/SKILL.md
molfeat,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Molecular featurization for ML (100+ featurizers). ECFP, MACCS, descriptors, pretrained models (ChemBERTa), convert SMILES to features, for QSAR and molecular ML.",1. **Use parallelization**: Set `n_jobs=-1` to utilize all CPU cores → 2. **Batch processing**: Process multiple molecules at once instead of loops → 3. **Choose appropriate featurizers**: Fingerprints are faster than deep learning models → 4. **Cache pretrained models**: Leverage built-in caching for repeated use → 5. **Use float32**: Set `dtype=np.float32` when precision allows → 6. **Handle errors efficiently**: Use `ignore_errors=True` for large datasets,"datamol, scikit-learn, transformers, rdkit",references/choosing_a_featurizer.md; references/available_featurizers.md; references/examples.md,"pip install, uv pip, parallel",365,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/molfeat/SKILL.md
pkpd-modeling,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Pharmacokinetic and pharmacodynamic modelling and simulation - non-compartmental analysis, compartmental and population PK, PK/PD and exposure-response, TMDD, PBPK orientation, bioequivalence, allometric scaling and first-in-human dose, drug interaction prediction, and Bayesian therapeutic drug monitoring. Use when analysing concentration-time data, deriving exposure metrics, fitting PK or PD models, or evaluating dosing regimens. Triggers include ""pharmacokinetics"", ""pharmacodynamics"", ""PK/PD"",","69.84-143.19%, point estimate still within 80-125%), and FDA's RSABE (a scaled linearised bound → 1. Lambda_z chosen by plain r-squared, or fitted through Tmax. → 2. AUCinf reported from a profile where 25% of it was extrapolated. → 3. AIC allowed to select a compartment whose intercompartmental clearance has 98% RSE. → 4. Reweighting used to fix non-random residuals, which are a structural problem. → 5. `BLQ` left in a DV column, where NM-TRAN reads it as a real zero.",,,"pip install, uv pip, patient, clinical",398,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pkpd-modeling/SKILL.md
pytdc,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Use Therapeutics Data Commons through the PyTDC Python package for registry discovery, approved dataset access, task-aware splits, evaluator metrics, benchmark groups, and bounded molecular-oracle workflows.","1.1.15 source/metadata. → 1. **Discover first.** Reading `tdc.metadata` or using → 2. **Plan second.** Record the exact task/dataset, official task page, license, → 3. **Ask the user before downloading.** Loader constructors fetch missing data. → 4. **Execute only after approval.** In bundled CLIs, `--execute` acknowledges → 5. **Keep outputs bounded.** Emit counts, schema, and small previews rather than",cellxgene-census,references/sources.md; references/datasets.md; references/utilities.md; references/oracles.md,"pip install, uv pip",314,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pytdc/SKILL.md
rdkit,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Cheminformatics toolkit for fine-grained molecular control. SMILES/SDF parsing, descriptors (MW, LogP, TPSA), fingerprints, substructure search, 2D/3D generation, similarity, reactions. For standard workflows with simpler interface, use datamol (wrapper around RDKit). Use rdkit for advanced control, custom sanitization, specialized algorithms.",1. **Forgetting to check for None:** Always validate molecules after parsing → 2. **Sanitization failures:** Use `DetectChemistryProblems()` to debug → 3. **Missing hydrogens:** Use `AddHs()` when calculating properties that depend on hydrogen → 4. **2D vs 3D:** Generate appropriate coordinates before visualization or 3D analysis → 5. **SMARTS matching rules:** Remember that unspecified properties match anything → 6. **Thread safety with MolSuppliers:** Don't share supplier objects across threads,datamol,references/core_capabilities.md; references/workflows_and_best_practices.md,"pip install, uv pip",111,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/rdkit/SKILL.md
rowan,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Rowan is a cloud-native molecular modeling and medicinal-chemistry workflow platform with a Python API. Use for pKa and macropKa prediction, conformer and tautomer ensembles, docking and analogue docking, protein-ligand cofolding, MSA generation, molecular dynamics, permeability, descriptor workflows, and related small-molecule or protein modeling tasks. Ideal for programmatic batch screening, multi-step chemistry pipelines, and workflows that would otherwise require maintaining local HPC/GPU in","1. **Submit** a workflow → 2. **Wait** for completion (with optional streaming) → 3. **Retrieve** typed results with convenience properties → 1. **Convenience properties** (recommended first): `result.descriptors`, `result.best_pose`, `result.scores`. Result classes differ: conformer search uses `get_energies()` and `get_conformers()` methods. → 2. **Raw fallback**: `result.data` — raw dictionary from the API",rdkit,references/workflow_catalog.md; references/batch_and_webhooks.md; references/access_and_pricing.md; references/end_to_end_example.md; references/troubleshooting.md,"API_KEY, upload, pip install, uv pip",398,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/rowan/SKILL.md
tamarind,Scientific,C 数据分析与专业计算,化学、分子与药物,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Access a collection of open-source molecular design and structural biology tools on the Tamarind Bio platform, via its REST API or MCP server — no local GPUs required. Tamarind bundles popular open-source models for structure prediction (AlphaFold, Boltz, Chai, ESMFold), protein, binder, and de novo design (RFdiffusion, ProteinMPNN, BoltzGen), antibody and nanobody design and developability, protein-ligand docking (DiffDock, Autodock Vina), binding-affinity prediction, MSA generation, and molecu","1. Sign in at [app.tamarind.bio](https://app.tamarind.bio) and create an API key from the account/API settings. → 2. Authenticate every REST request with the `x-api-key` header. → 3. **Never hardcode the key.** Read it from the `TAMARIND_API_KEY` environment variable or a `.env` file (use `python-dotenv`). Never commit keys to source control. → 1. **Upload first, then reference by bare filename.** `PUT /upload/{filename}`, or MCP `uploadFile` → presigned URL → `curl -X PUT -T file ""<url>""`. If your host can't reach S3 (a sandboxed agent with no outbound network), use MCP `uploadFileContent(filename, content, encoding?)` to send the file's content through the MCP channel instead — text by default, `encoding=""base64""` for binary. The object lands at the S3 key `{email}/{filename}`, **but you reference it in `settings` by the bare `filename` only** (e.g. `""targetFile"": ""GLP1R_ECD.pdb""`) — the platform scopes it to your account automatically. **Do NOT prefix the email**: passing `{email}/{filename}` double-prefixes the lookup and `submit-job` 400s with `""The following files have not been uploaded: <email>/<file>""`. Confirm the exact name the store registered with MCP `getFiles(search=.",diffdock,mailto:info@tamarind.bio,"API_KEY, upload, pip install, uv pip, delete, parallel",285,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/tamarind/SKILL.md
